TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
49;0;0.143;0.286;0.429;0.571;0.829;1.086;1.514;1.943;2.721;3.5;3.657;3.814;4.043;4.271;4.479;4.686;4.975;5.264;5.554;5.843;5.883;5.923;5.963;6.003;6.043;6.054;6.066;6.077;6.089;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1;6.1
50;0;0.154;0.307;0.461;0.614;0.886;1.157;1.593;2.029;2.814;3.6;3.771;3.943;4.179;4.414;4.636;4.857;5.15;5.443;5.736;6.029;6.069;6.109;6.149;6.189;6.229;6.243;6.257;6.271;6.286;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.3;6.3
51;0;0.164;0.329;0.493;0.657;0.943;1.229;1.671;2.114;2.907;3.7;3.886;4.071;4.314;4.557;4.793;5.029;5.325;5.621;5.918;6.214;6.254;6.294;6.334;6.374;6.414;6.431;6.449;6.466;6.483;6.5;6.5;6.5;6.5;6.5;6.5;6.5;6.5;6.5;6.5;6.5
52;0;0.175;0.35;0.525;0.7;1;1.3;1.75;2.2;3;3.8;4;4.2;4.45;4.7;4.95;5.2;5.5;5.8;6.1;6.4;6.44;6.48;6.52;6.56;6.6;6.62;6.64;6.66;6.68;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7;6.7
53;0;0.191;0.381;0.572;0.763;1.069;1.375;1.838;2.3;3.113;3.925;4.131;4.338;4.6;4.863;5.125;5.388;5.694;6;6.306;6.613;6.653;6.693;6.733;6.773;6.813;6.833;6.853;6.873;6.893;6.913;6.915;6.918;6.92;6.923;6.925;6.925;6.925;6.925;6.925;6.925
54;0;0.206;0.413;0.619;0.825;1.138;1.45;1.925;2.4;3.225;4.05;4.262;4.475;4.75;5.025;5.3;5.575;5.888;6.2;6.513;6.825;6.865;6.905;6.945;6.985;7.025;7.045;7.065;7.085;7.105;7.125;7.13;7.135;7.14;7.145;7.15;7.15;7.15;7.15;7.15;7.15
55;0;0.222;0.444;0.666;0.888;1.206;1.525;2.013;2.5;3.338;4.175;4.394;4.613;4.9;5.188;5.475;5.763;6.081;6.4;6.719;7.038;7.078;7.118;7.158;7.198;7.238;7.258;7.278;7.298;7.318;7.338;7.345;7.353;7.36;7.368;7.375;7.375;7.375;7.375;7.375;7.375
56;0;0.238;0.475;0.712;0.95;1.275;1.6;2.1;2.6;3.45;4.3;4.525;4.75;5.05;5.35;5.65;5.95;6.275;6.6;6.925;7.25;7.29;7.33;7.37;7.41;7.45;7.47;7.49;7.51;7.53;7.55;7.56;7.57;7.58;7.59;7.6;7.6;7.6;7.6;7.6;7.6
57;0;0.253;0.506;0.759;1.013;1.344;1.675;2.188;2.7;3.563;4.425;4.656;4.888;5.2;5.513;5.825;6.138;6.469;6.8;7.131;7.463;7.503;7.543;7.583;7.623;7.663;7.683;7.703;7.723;7.743;7.763;7.775;7.788;7.8;7.813;7.825;7.825;7.825;7.825;7.825;7.825
58;0;0.269;0.538;0.806;1.075;1.413;1.75;2.275;2.8;3.675;4.55;4.788;5.025;5.35;5.675;6;6.325;6.663;7;7.338;7.675;7.715;7.755;7.795;7.835;7.875;7.895;7.915;7.935;7.955;7.975;7.99;8.005;8.02;8.035;8.05;8.05;8.05;8.05;8.05;8.05
59;0;0.284;0.569;0.853;1.138;1.481;1.825;2.363;2.9;3.787;4.675;4.919;5.163;5.5;5.838;6.175;6.513;6.856;7.2;7.544;7.887;7.927;7.967;8.008;8.047;8.088;8.108;8.127;8.148;8.168;8.188;8.205;8.223;8.24;8.258;8.275;8.275;8.275;8.275;8.275;8.275
60;0;0.3;0.6;0.9;1.2;1.55;1.9;2.45;3;3.9;4.8;5.05;5.3;5.65;6;6.35;6.7;7.05;7.4;7.75;8.1;8.14;8.18;8.22;8.26;8.3;8.32;8.34;8.36;8.38;8.4;8.42;8.44;8.46;8.48;8.5;8.5;8.5;8.5;8.5;8.5
61;0;0.305;0.61;0.915;1.22;1.58;1.94;2.5;3.06;3.975;4.89;5.14;5.39;5.745;6.1;6.45;6.8;7.163;7.525;7.888;8.25;8.294;8.338;8.382;8.426;8.47;8.492;8.514;8.536;8.558;8.58;8.6;8.62;8.64;8.66;8.68;8.68;8.68;8.68;8.68;8.68
62;0;0.31;0.62;0.93;1.24;1.61;1.98;2.55;3.12;4.05;4.98;5.23;5.48;5.84;6.2;6.55;6.9;7.275;7.65;8.025;8.4;8.448;8.496;8.544;8.592;8.64;8.664;8.688;8.712;8.736;8.76;8.78;8.8;8.82;8.84;8.86;8.86;8.86;8.86;8.86;8.86
63;0;0.315;0.63;0.945;1.26;1.64;2.02;2.6;3.18;4.125;5.07;5.32;5.57;5.935;6.3;6.65;7;7.387;7.775;8.163;8.55;8.602;8.654;8.706;8.758;8.81;8.836;8.862;8.888;8.914;8.94;8.96;8.98;9;9.02;9.04;9.04;9.04;9.04;9.04;9.04
64;0;0.32;0.64;0.96;1.28;1.67;2.06;2.65;3.24;4.2;5.16;5.41;5.66;6.03;6.4;6.75;7.1;7.5;7.9;8.3;8.7;8.756;8.812;8.868;8.924;8.98;9.008;9.036;9.064;9.092;9.12;9.14;9.16;9.18;9.2;9.22;9.22;9.22;9.22;9.22;9.22
65;0;0.325;0.65;0.975;1.3;1.7;2.1;2.7;3.3;4.275;5.25;5.5;5.75;6.125;6.5;6.85;7.2;7.613;8.025;8.438;8.85;8.91;8.97;9.03;9.09;9.15;9.18;9.21;9.24;9.27;9.3;9.32;9.34;9.36;9.38;9.4;9.4;9.4;9.4;9.4;9.4
66;0;0.33;0.66;0.99;1.32;1.73;2.14;2.75;3.36;4.35;5.34;5.59;5.84;6.22;6.6;6.95;7.3;7.725;8.15;8.575;9;9.064;9.128;9.192;9.256;9.32;9.352;9.384;9.416;9.448;9.48;9.5;9.52;9.54;9.56;9.58;9.58;9.58;9.58;9.58;9.58
67;0;0.335;0.67;1.005;1.34;1.76;2.18;2.8;3.42;4.425;5.43;5.68;5.93;6.315;6.7;7.05;7.4;7.838;8.275;8.713;9.15;9.218;9.286;9.354;9.422;9.49;9.524;9.558;9.592;9.626;9.66;9.68;9.7;9.72;9.74;9.76;9.76;9.76;9.76;9.76;9.76
68;0;0.34;0.68;1.02;1.36;1.79;2.22;2.85;3.48;4.5;5.52;5.77;6.02;6.41;6.8;7.15;7.5;7.95;8.4;8.85;9.3;9.372;9.444;9.516;9.588;9.66;9.696;9.732;9.768;9.804;9.84;9.86;9.88;9.9;9.92;9.94;9.94;9.94;9.94;9.94;9.94
